amostra,Pop,dpi,In—culo,CT1_DENV,CT2_DENV,CT3_DENV,CT4_DENV,CT5_DENV,CT6_DENV,CT1_TM513,CT2_TM514,CT3_TM515,CT4_TM516,CT1_RPS17,CT2_RPS17,CT3_RPS17,CT4_RPS17
254,TET,3,10^4,Undetermined,Undetermined,,,,,38.18500137329100,,,,20.26199913024900,,,
255,TET,3,10^4,Undetermined,Undetermined,Undetermined,Undetermined,,,33.18799972534180,,,,20.06299972534180,,,
256,TET,3,10^4,Undetermined,Undetermined,Undetermined,Undetermined,,,Undetermined,,,,19.78599929809570,,,
257,TET,3,10^4,Undetermined,Undetermined,Undetermined,Undetermined,,,Undetermined,,,,19.56200027465820,,,
258,TET,3,10^4,Undetermined,Undetermined,,,,,24.62400054931640,,,,20.64599990844730,,,
259,TET,3,10^4,Undetermined,Undetermined,Undetermined,Undetermined,,,Undetermined,,,,19.85700035095210,,,
260,TET,3,10^4,Undetermined,Undetermined,Undetermined,Undetermined,,,34.33100128173830,,,,20.24900054931640,,,
261,TET,3,10^4,Undetermined,Undetermined,,,,,32.08000183105470,,,,24.14299964904790,,,
262,TET,3,10^4,Undetermined,37.15299987792970,Undetermined,Undetermined,,,Undetermined,,,,19.49900054931640,,,
88,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,18.85400009155270,,,
89,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.60600090026860,,,
90,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,18.42900085449220,,,
91,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.33900070190430,,,
92,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,18.55200004577640,,,
93,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.06200027465820,,,
94,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.18600082397460,,,
95,TET,7,10^4,Undetermined,Undetermined,,,,,44.67399978637700,,,,19.71500015258790,,,
96,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,18.61599922180180,,,
97,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,20.12100028991700,,,
98,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.42799949646000,,,
99,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.88400077819820,,,
1,TET,14,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.78700065612790,,,
2,TET,14,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.10600090026860,,,
3,TET,14,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.67200088500980,,,
4,TET,14,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.01099967956540,,,
263,TET,3,10^5,Undetermined,Undetermined,,,,,39.04600143432620,,,,19.92900085449220,,,
264,TET,3,10^5,Undetermined,Undetermined,,,,,41.36299896240230,,,,20.82399940490720,,,
265,TET,3,10^5,Undetermined,Undetermined,,,,,Undetermined,,,,20.09499931335450,,,
100,TET,7,10^5,Undetermined,Undetermined,,,,,Undetermined,,,,18.29299926757810,,,
101,TET,7,10^5,Undetermined,Undetermined,,,,,Undetermined,,,,19.12700080871580,,,
102,TET,7,10^5,Undetermined,Undetermined,,,,,Undetermined,,,,19.44799995422360,,,
5,TET,14,10^5,Undetermined,Undetermined,,,,,Undetermined,,,,19.06500053405760,,,
6,TET,14,10^5,Undetermined,Undetermined,,,,,Undetermined,,,,18.84199905395510,,,
