sample,group,dpi,dose,dose_exp,denv_titer,wmel_titer
254,TET,3,10^4,4,0,0
255,TET,3,10^4,4,0,0
256,TET,3,10^4,4,0,0
257,TET,3,10^4,4,0,0
258,TET,3,10^4,4,0,0
259,TET,3,10^4,4,0,0
260,TET,3,10^4,4,0,0
261,TET,3,10^4,4,0,0
262,TET,3,10^4,4,67,0
88,TET,7,10^4,4,0,0
89,TET,7,10^4,4,0,0
90,TET,7,10^4,4,0,0
91,TET,7,10^4,4,0,0
92,TET,7,10^4,4,0,0
93,TET,7,10^4,4,0,0
94,TET,7,10^4,4,0,0
95,TET,7,10^4,4,0,0
96,TET,7,10^4,4,0,0
97,TET,7,10^4,4,0,0
98,TET,7,10^4,4,0,0
99,TET,7,10^4,4,0,0
1,TET,14,10^4,4,0,0
2,TET,14,10^4,4,0,0
3,TET,14,10^4,4,0,0
4,TET,14,10^4,4,0,0
263,TET,3,10^5,5,0,0
264,TET,3,10^5,5,0,0
265,TET,3,10^5,5,0,0
100,TET,7,10^5,5,0,0
101,TET,7,10^5,5,0,0
102,TET,7,10^5,5,0,0
5,TET,14,10^5,5,0,0
6,TET,14,10^5,5,0,0
7,TET,14,10^5,5,0,0
266,TET,3,10^6,6,42,0
267,TET,3,10^6,6,0,0
268,TET,3,10^6,6,0,0
269,TET,3,10^6,6,0,0
270,TET,3,10^6,6,0,0
271,TET,3,10^6,6,0,0
272,TET,3,10^6,6,0,0
273,TET,3,10^6,6,0,0
103,TET,7,10^6,6,0,0
104,TET,7,10^6,6,0,0
105,TET,7,10^6,6,0,0
106,TET,7,10^6,6,0,0
107,TET,7,10^6,6,0,0
108,TET,7,10^6,6,0,0
109,TET,7,10^6,6,15,0
110,TET,7,10^6,6,0,0
111,TET,7,10^6,6,0,0
8,TET,14,10^6,6,0,0
9,TET,14,10^6,6,0,0
10,TET,14,10^6,6,0,0
11,TET,14,10^6,6,0,0
12,TET,14,10^6,6,0,0
13,TET,14,10^6,6,0,0
14,TET,14,10^6,6,0,0
274,TET,3,10^7,7,177,0
275,TET,3,10^7,7,65,0
276,TET,3,10^7,7,111,0
277,TET,3,10^7,7,0,0
278,TET,3,10^7,7,0,0
279,TET,3,10^7,7,0,0
280,TET,3,10^7,7,32,0
281,TET,3,10^7,7,101,0
282,TET,3,10^7,7,47,0
283,TET,3,10^7,7,1602,0
284,TET,3,10^7,7,27,0
285,TET,3,10^7,7,0,0
112,TET,7,10^7,7,21,0
113,TET,7,10^7,7,20,0
114,TET,7,10^7,7,0,0
115,TET,7,10^7,7,11,0
116,TET,7,10^7,7,7,0
117,TET,7,10^7,7,494976,0
118,TET,7,10^7,7,5,0
119,TET,7,10^7,7,325545,0
120,TET,7,10^7,7,18,0
121,TET,7,10^7,7,161,0
15,TET,14,10^7,7,0,0
16,TET,14,10^7,7,0,0
17,TET,14,10^7,7,0,0
18,TET,14,10^7,7,21,0
19,TET,14,10^7,7,15,0
20,TET,14,10^7,7,0,0
286,TET,3,10^8,8,1361,0
287,TET,3,10^8,8,0,0
288,TET,3,10^8,8,1004,0
289,TET,3,10^8,8,1651,0
290,TET,3,10^8,8,28290,0
291,TET,3,10^8,8,1294,0
292,TET,3,10^8,8,921,0
293,TET,3,10^8,8,1096,0
122,TET,7,10^8,8,1240509,0
123,TET,7,10^8,8,177197,0
124,TET,7,10^8,8,482945,0
125,TET,7,10^8,8,236996,0
126,TET,7,10^8,8,474155,0
127,TET,7,10^8,8,638798,0
128,TET,7,10^8,8,158,0
129,TET,7,10^8,8,937,0
130,TET,7,10^8,8,191502,0
21,TET,14,10^8,8,5290604,0
22,TET,14,10^8,8,4914109,0
23,TET,14,10^8,8,2148650,0
24,TET,14,10^8,8,5603902,0
25,TET,14,10^8,8,1894649,0
26,TET,14,10^8,8,6366192,0
27,TET,14,10^8,8,7899062,0
28,TET,14,10^8,8,2982311,0
29,TET,14,10^8,8,42,0
30,TET,14,10^8,8,9790829,0
31,TET,14,10^8,8,38,0
32,TET,14,10^8,8,129,0
33,TET,14,10^8,8,5862159,0
34,TET,14,10^8,8,11546878,0
189,wMEL,3,10^4,4,0,8
190,wMEL,3,10^4,4,0,6
191,wMEL,3,10^4,4,0,17
192,wMEL,3,10^4,4,0,18
193,wMEL,3,10^4,4,0,18
194,wMEL,3,10^4,4,0,18
195,wMEL,3,10^4,4,0,22
196,wMEL,3,10^4,4,0,17
197,wMEL,3,10^4,4,0,14
198,wMEL,3,10^4,4,0,15
252,wMEL,3,10^4,4,0,19
253,wMEL,3,10^4,4,0,13
132,wMEL,7,10^4,4,0,8
133,wMEL,7,10^4,4,0,6
134,wMEL,7,10^4,4,0,9
135,wMEL,7,10^4,4,0,6
136,wMEL,7,10^4,4,0,9
137,wMEL,7,10^4,4,0,7
39,wMEL,14,10^4,4,28,19
40,wMEL,14,10^4,4,0,20
41,wMEL,14,10^4,4,0,23
42,wMEL,14,10^4,4,0,25
43,wMEL,14,10^4,4,0,22
44,wMEL,14,10^4,4,0,17
45,wMEL,14,10^4,4,0,6
199,wMEL,3,10^5,5,0,10
200,wMEL,3,10^5,5,24,9
201,wMEL,3,10^5,5,0,12
202,wMEL,3,10^5,5,0,10
203,wMEL,3,10^5,5,0,16
204,wMEL,3,10^5,5,0,10
205,wMEL,3,10^5,5,0,18
206,wMEL,3,10^5,5,0,13
207,wMEL,3,10^5,5,0,7
208,wMEL,3,10^5,5,0,15
209,wMEL,3,10^5,5,0,27
138,wMEL,7,10^5,5,0,5
139,wMEL,7,10^5,5,8,14
140,wMEL,7,10^5,5,0,9
141,wMEL,7,10^5,5,0,8
142,wMEL,7,10^5,5,0,11
143,wMEL,7,10^5,5,0,8
144,wMEL,7,10^5,5,0,7
145,wMEL,7,10^5,5,0,6
146,wMEL,7,10^5,5,0,3
147,wMEL,7,10^5,5,0,1
46,wMEL,14,10^5,5,0,22
47,wMEL,14,10^5,5,0,15
48,wMEL,14,10^5,5,0,14
49,wMEL,14,10^5,5,10,17
210,wMEL,3,10^6,6,0,10
211,wMEL,3,10^6,6,42,28
212,wMEL,3,10^6,6,0,13
213,wMEL,3,10^6,6,0,14
214,wMEL,3,10^6,6,0,12
215,wMEL,3,10^6,6,0,17
216,wMEL,3,10^6,6,56,22
217,wMEL,3,10^6,6,0,27
218,wMEL,3,10^6,6,53,11
149,wMEL,7,10^6,6,0,7
150,wMEL,7,10^6,6,0,105
151,wMEL,7,10^6,6,0,8
152,wMEL,7,10^6,6,4,11
153,wMEL,7,10^6,6,0,9
154,wMEL,7,10^6,6,0,3
155,wMEL,7,10^6,6,9,11
156,wMEL,7,10^6,6,0,11
157,wMEL,7,10^6,6,0,10
158,wMEL,7,10^6,6,0,10
50,wMEL,14,10^6,6,0,22
51,wMEL,14,10^6,6,0,24
52,wMEL,14,10^6,6,0,2
53,wMEL,14,10^6,6,0,26
54,wMEL,14,10^6,6,0,18
55,wMEL,14,10^6,6,13,12
56,wMEL,14,10^6,6,0,21
57,wMEL,14,10^6,6,17,18
219,wMEL,3,10^7,7,0,14
220,wMEL,3,10^7,7,36,12
221,wMEL,3,10^7,7,44,12
222,wMEL,3,10^7,7,0,6
223,wMEL,3,10^7,7,0,28
224,wMEL,3,10^7,7,0,13
225,wMEL,3,10^7,7,0,11
226,wMEL,3,10^7,7,484,237
227,wMEL,3,10^7,7,0,70
159,wMEL,7,10^7,7,0,6
160,wMEL,7,10^7,7,0,4
161,wMEL,7,10^7,7,1,3
162,wMEL,7,10^7,7,2,3
163,wMEL,7,10^7,7,0,6
164,wMEL,7,10^7,7,2,4
165,wMEL,7,10^7,7,0,6
166,wMEL,7,10^7,7,5,4
167,wMEL,7,10^7,7,0,310
168,wMEL,7,10^7,7,27,6
58,wMEL,14,10^7,7,3641243,30
59,wMEL,14,10^7,7,24,19
60,wMEL,14,10^7,7,7,17
61,wMEL,14,10^7,7,32,25
62,wMEL,14,10^7,7,15,22
63,wMEL,14,10^7,7,0,15
64,wMEL,14,10^7,7,2948398,16
65,wMEL,14,10^7,7,0,16
66,wMEL,14,10^7,7,15,25
67,wMEL,14,10^7,7,5,22
228,wMEL,3,10^8,8,232,0
229,wMEL,3,10^8,8,30,13
230,wMEL,3,10^8,8,632,19
231,wMEL,3,10^8,8,159,10
232,wMEL,3,10^8,8,66,12
233,wMEL,3,10^8,8,58,23
234,wMEL,3,10^8,8,1069,22
235,wMEL,3,10^8,8,93,15
236,wMEL,3,10^8,8,873,22
237,wMEL,3,10^8,8,250,24
238,wMEL,3,10^8,8,56,16
239,wMEL,3,10^8,8,112,14
240,wMEL,3,10^8,8,99,18
169,wMEL,7,10^8,8,0,3
170,wMEL,7,10^8,8,0,3
171,wMEL,7,10^8,8,35487,8
172,wMEL,7,10^8,8,20,4
173,wMEL,7,10^8,8,24,4
174,wMEL,7,10^8,8,83878,6
175,wMEL,7,10^8,8,52028,8
176,wMEL,7,10^8,8,37,4
177,wMEL,7,10^8,8,174033,980
178,wMEL,7,10^8,8,2719,30
68,wMEL,14,10^8,8,41,27
69,wMEL,14,10^8,8,3639,1
70,wMEL,14,10^8,8,3859101,8
71,wMEL,14,10^8,8,1068632,35
72,wMEL,14,10^8,8,751,14
73,wMEL,14,10^8,8,1290949,9
74,wMEL,14,10^8,8,27,11
75,wMEL,14,10^8,8,8094434,19
76,wMEL,14,10^8,8,1635158,19
77,wMEL,14,10^8,8,14454354,42
78,wMEL,14,10^8,8,5898839,11
79,wMEL,14,10^8,8,80,15
80,wMEL,14,10^8,8,3448410,17
81,wMEL,14,10^8,8,3684404,18
